City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Sitka,US,2022-06-20 03:05:28,57.0531,-135.33,51.69,87,100,10.36
222,Olafsvik,IS,2022-06-20 03:05:28,64.8945,-23.7142,48.2,96,100,11.12
223,Aswan,EG,2022-06-20 03:05:29,24.0934,32.907,82.4,21,40,11.83
224,Mehamn,NO,2022-06-20 03:05:29,71.0357,27.8492,44.51,100,100,0.0
225,Qandala,SO,2022-06-20 03:05:29,11.472,49.8728,89.69,48,79,8.9
226,Khandyga,RU,2022-06-20 03:05:30,62.6667,135.6,79.54,36,35,6.11
227,Saint-Pierre,RE,2022-06-20 03:06:30,-21.3393,55.4781,66.9,77,75,8.05
228,Marawi,PH,2022-06-20 03:06:31,7.9986,124.2928,80.26,70,70,2.98
229,Tasiilaq,GL,2022-06-20 03:06:32,65.6145,-37.6368,41.16,69,76,6.31
230,Mumford,GH,2022-06-20 03:06:32,5.2618,-0.759,75.92,90,100,7.05
231,Inhambane,MZ,2022-06-20 03:06:32,-23.865,35.3833,66.0,80,5,3.69
232,Teahupoo,PF,2022-06-20 03:06:33,-17.8333,-149.2667,78.53,75,40,20.13
233,Atikokan,CA,2022-06-20 03:06:33,48.7555,-91.6216,82.0,73,4,12.06
234,Tolaga Bay,NZ,2022-06-20 03:06:26,-38.3667,178.3,51.69,62,100,21.9
235,Villa Maria,AR,2022-06-20 03:06:34,-32.4075,-63.2402,49.87,42,100,2.82
236,Laguna,US,2022-06-20 03:06:34,38.421,-121.4238,83.75,31,0,9.22
237,Praia Da Vitoria,PT,2022-06-20 03:06:35,38.7333,-27.0667,62.76,81,86,18.34
238,Taoudenni,ML,2022-06-20 03:06:35,22.6783,-3.9836,90.55,31,91,9.93
239,Kwinana,AU,2022-06-20 03:06:36,-32.25,115.7667,63.23,86,91,1.99
240,Rocha,UY,2022-06-20 03:06:36,-34.4833,-54.3333,44.67,64,52,4.9
241,Lorengau,PG,2022-06-20 03:06:36,-2.0226,147.2712,82.45,74,39,4.81
242,Nhulunbuy,AU,2022-06-20 03:06:37,-12.2333,136.7667,83.01,74,75,14.97
243,Vardo,NO,2022-06-20 03:06:37,70.3705,31.1107,42.78,93,100,4.61
244,Aberystwyth,GB,2022-06-20 03:06:37,52.4155,-4.0829,42.71,87,2,5.35
245,Dicabisagan,PH,2022-06-20 03:06:38,17.0818,122.4157,89.31,62,31,8.03
246,Hithadhoo,MV,2022-06-20 03:06:38,-0.6,73.0833,82.62,72,90,9.26
247,Chor,PK,2022-06-20 03:06:38,25.5167,69.7667,87.87,60,0,23.96
248,Pangnirtung,CA,2022-06-20 03:06:39,66.1451,-65.7125,36.25,75,59,3.85
249,Eskil,TR,2022-06-20 03:06:39,38.4017,33.4131,64.99,64,0,4.76
250,Wundanyi,KE,2022-06-20 03:06:39,-3.4019,38.364,56.7,85,90,5.77
